ID,NOMBRE,COMPLETADO,EXTRA
FWC1,ESPECIAL,NO,0
FWC2,ESPECIAL,NO,0
FWC3,ESPECIAL,NO,0
FWC4,ESPECIAL,NO,0
FWC5,ESPECIAL,NO,0
FWC6,ESPECIAL,NO,0
FWC7,ESPECIAL,NO,0
FWC8,ESPECIAL,NO,0
FWC9,ESPECIAL,NO,0
FWC10,ESPECIAL,NO,0
FWC11,ESPECIAL,NO,0
FWC12,ESPECIAL,NO,0
FWC13,ESPECIAL,NO,0
FWC14,ESPECIAL,NO,0
FWC15,ESPECIAL,NO,0
FWC16,ESPECIAL,NO,0
FWC17,ESPECIAL,NO,0
FWC18,ESPECIAL,NO,0
FWC19,ESPECIAL,NO,0
MEX1,ESCUDO,SI,0
MEX2,Luis Malagón,NO,0
MEX3,Johan Vásquez,SI,0
MEX4,Jorge Sánchez,NO,0
MEX5,César Montes,SI,0
MEX6,Jesús Gallardo,NO,0
MEX7,,NO,0
MEX8,Diego Lainez,NO,0
MEX9,Carlos Rodríguez,SI,0
MEX10,Edison Álvarez,NO,0
MEX11,Orbelín Pineda,SI,0
MEX12,Marcel Ruiz,NO,0
MEX13,EQUIPO,SI,0
MEX14,Erick Sánchez,SI,0
MEX15,Hirving Lozano,SI,0
MEX16,Santiago Giménez,NO,0
MEX17,Raúl Jiménez,NO,0
MEX18,Alexis Vega,NO,0
MEX19,Roberto Alvarado,SI,0
MEX20,César Huerta,NO,0
RSA1,ESCUDO,NO,0
RSA2,,NO,0
RSA3,,NO,0
RSA4,,NO,0
RSA5,,NO,0
RSA6,,NO,0
RSA7,,NO,0
RSA8,,NO,0
RSA9,,NO,0
RSA10,,NO,0
RSA11,,NO,0
RSA12,,NO,0
RSA13,EQUIPO,NO,0
RSA14,,NO,0
RSA15,,NO,0
RSA16,,NO,0
RSA17,,NO,0
RSA18,,NO,0
RSA19,,NO,0
RSA20,,NO,0
KOR1,ESCUDO,NO,0
KOR2,,NO,0
KOR3,,NO,0
KOR4,,NO,0
KOR5,,NO,0
KOR6,,NO,0
KOR7,,NO,0
KOR8,,NO,0
KOR9,,NO,0
KOR10,,NO,0
KOR11,,NO,0
KOR12,,NO,0
KOR13,EQUIPO,NO,0
KOR14,,NO,0
KOR15,,NO,0
KOR16,,NO,0
KOR17,,NO,0
KOR18,,NO,0
KOR19,,NO,0
KOR20,,NO,0
CZE1,ESCUDO,NO,0
CZE2,,NO,0
CZE3,,NO,0
CZE4,,NO,0
CZE5,,NO,0
CZE6,,NO,0
CZE7,,NO,0
CZE8,,NO,0
CZE9,,NO,0
CZE10,,NO,0
CZE11,,NO,0
CZE12,,NO,0
CZE13,EQUIPO,NO,0
CZE14,,NO,0
CZE15,,NO,0
CZE16,,NO,0
CZE17,,NO,0
CZE18,,NO,0
CZE19,,NO,0
CZE20,,NO,0
CAN1,ESCUDO,NO,0
CAN2,,NO,0
CAN3,,NO,0
CAN4,,NO,0
CAN5,,NO,0
CAN6,,NO,0
CAN7,,NO,0
CAN8,,NO,0
CAN9,,NO,0
CAN10,,NO,0
CAN11,,NO,0
CAN12,,NO,0
CAN13,EQUIPO,NO,0
CAN14,,NO,0
CAN15,,NO,0
CAN16,,NO,0
CAN17,,NO,0
